LodgingRevenue,OtherRevenue,BookingsCheckedIn,PersonsNights,RoomNights,DaysSinceLastStay,req_room
138.0,126.5,1,6,3,1074,0
138.0,42.0,1,6,3,1074,0
138.0,82.0,1,6,3,1074,0
387.0,23.5,1,10,5,1076,0
231.0,134.49,1,6,3,1074,1
50.0,30.3,1,2,1,1071,0
34.0,9.5,1,1,1,1071,1
1132.0,181.5,5,22,10,96,1
219.0,30.0,2,3,3,1015,0
50.0,16.5,1,2,1,1071,0
50.0,14.0,1,2,1,1071,0
52.0,7.0,1,1,1,1071,0
52.0,7.0,1,1,1,1071,0
285.0,70.0,1,10,5,1075,0
138.0,42.0,1,6,3,1073,0
150.0,42.0,1,2,1,1071,0
52.0,7.0,1,1,1,1071,0
50.0,14.0,1,2,1,1071,0
79.0,11.0,1,2,1,1071,0
52.0,7.0,1,1,1,1071,0
67.0,33.0,1,2,1,1071,0
300.0,128.0,1,4,2,1071,0
176.0,28.0,1,4,2,1071,0
224.0,96.7,1,8,4,1073,0
300.0,84.0,1,4,2,1071,0
300.0,93.99,1,4,2,1071,0
300.0,96.5,1,4,2,1071,0
444.0,126.0,1,6,2,1071,0
312.0,42.0,1,2,2,1071,0
444.0,126.0,1,6,2,1071,0
444.0,133.5,1,6,2,1071,0
300.0,90.5,1,4,2,1071,0
300.0,86.5,1,4,2,1071,0
814.0,233.0,1,9,3,1072,0
312.0,42.0,1,2,2,1071,0
444.0,126.0,1,6,2,1071,0
312.0,42.0,1,2,2,1071,0
450.0,160.0,1,6,3,1072,0
157.2,42.0,1,6,3,1072,0
73.0,7.0,1,1,1,1070,0
73.0,7.0,1,1,1,1070,0
146.0,46.6,1,2,2,1071,1
77.0,14.0,1,2,1,1070,0
163.8,32.0,2,2,2,991,0
177.0,27.0,1,3,3,1072,0
166.19,134.5,1,3,3,1072,1
230.0,70.0,1,10,5,1074,0
138.0,87.0,1,6,3,1072,1
300.0,92.5,1,4,2,1071,0
164.97,51.0,1,6,3,1072,1
156.0,21.0,1,1,1,1070,0
300.0,84.0,1,4,2,1071,0
300.0,84.0,1,4,2,1071,0
300.0,84.0,1,4,2,1071,0
73.0,7.0,1,1,1,1070,0
388.0,120.0,1,12,4,1073,0
146.0,16.5,1,2,2,1070,0
666.0,302.5,1,9,3,1071,0
450.0,161.0,1,6,3,1071,0
219.0,57.5,1,3,3,1071,0
146.0,16.5,1,2,2,1070,0
368.0,95.6,2,5,5,671,1
219.0,78.5,2,3,3,740,0
330.8,122.0,1,8,4,1072,1
132.0,76.0,1,6,3,1071,0
73.0,31.5,1,1,1,1069,1
154.0,8.0,1,1,1,1068,0
74.0,8.0,1,1,1,1068,0
154.0,8.0,1,1,1,1068,0
234.0,8.0,1,1,1,1068,0
154.0,6.0,1,1,1,1068,0
600.0,168.0,1,8,4,1071,0
74.0,64.5,1,1,1,1068,0
230.0,97.5,1,10,5,1072,0
296.0,28.0,1,2,2,1069,0
148.0,14.0,1,2,2,1069,0
148.0,14.0,1,2,2,1069,0
296.0,28.0,1,2,2,1069,0
74.0,7.0,1,1,1,1068,0
227.2,111.5,1,4,4,1071,0
148.0,16.5,1,2,2,1069,0
146.0,39.0,1,2,2,1069,0
73.0,44.5,1,1,1,1068,0
296.0,46.0,1,2,2,1069,0
296.0,28.0,1,2,2,1069,0
150.0,37.0,2,4,2,24,1
202.0,63.0,1,6,2,1069,0
202.0,36.0,1,6,2,1069,0
296.0,28.0,1,2,2,1069,0
251.0,70.0,2,6,3,209,1
60.83,2.0,1,2,1,1068,1
290.0,60.0,1,4,2,1069,0
692.7,246.0,2,3,3,1067,0
