LodgingRevenue,OtherRevenue,BookingsCheckedIn,PersonsNights,RoomNights,DaysSinceLastStay,req_room,Cluster
244.0,142.5,1,6,3,970,0,Budget Guests
327.0,143.5,1,6,3,970,0,Budget Guests
212.0,66.0,1,3,3,970,0,Budget Guests
244.0,122.0,1,6,3,970,0,Budget Guests
282.6,42.0,1,6,2,969,1,Group Travelers
244.0,122.0,1,6,3,970,0,Budget Guests
159.0,29.0,1,3,1,968,0,Budget Guests
244.0,122.0,1,6,3,970,1,Group Travelers
477.9,60.0,1,12,3,970,1,Group Travelers
114.9,17.5,1,2,1,968,0,Budget Guests
168.0,47.0,1,2,2,969,1,Group Travelers
168.0,14.0,1,2,2,969,0,Budget Guests
173.38,33.0,1,4,2,969,1,Group Travelers
504.0,42.0,1,2,2,969,0,Budget Guests
140.0,20.0,1,2,1,968,0,Budget Guests
348.3,22.0,1,2,1,968,1,Group Travelers
399.1,70.5,1,8,4,971,1,Group Travelers
175.8,46.0,1,4,2,969,1,Group Travelers
204.6,246.5,1,4,2,969,1,Group Travelers
348.3,22.0,1,2,1,968,1,Group Travelers
127.54,112.0,1,6,2,969,1,Group Travelers
244.0,122.0,1,6,3,970,0,Budget Guests
139.54,28.0,1,4,2,969,1,Group Travelers
116.1,11.0,1,2,1,968,1,Group Travelers
279.9,51.5,1,6,3,970,1,Group Travelers
279.9,90.0,1,6,3,970,1,Group Travelers
103.0,43.0,1,3,3,970,0,Budget Guests
139.54,28.0,1,4,2,969,1,Group Travelers
353.33,51.0,1,4,2,969,0,Budget Guests
170.0,15.0,1,4,2,969,0,Budget Guests
246.0,51.0,1,4,2,969,0,Budget Guests
170.0,4.0,1,4,2,969,0,Budget Guests
170.0,4.0,1,4,2,969,0,Budget Guests
159.0,104.0,1,6,3,970,0,Budget Guests
139.54,39.0,1,4,2,969,1,Group Travelers
159.0,104.0,1,6,3,970,0,Budget Guests
159.0,122.0,1,6,3,970,0,Budget Guests
379.2,57.5,1,4,4,971,1,Group Travelers
642.0,169.0,1,12,4,971,0,Budget Guests
116.1,2.0,1,2,1,968,0,Budget Guests
116.1,31.0,1,2,1,968,1,Group Travelers
387.0,21.0,1,1,1,968,0,Budget Guests
